,format,rating,review_text,final_review
0,Amazon Video,4,ok movie,positive
1,DVD,5,movie actor job added collection absolutely portrayed time theatre move superb saw first loved,positive
2,Amazon Video,3,better movie alot good not,positive
3,DVD,5,visually favorite truly richness learn emotional crucial resulting watching close palpable joseph dimensional nhimself demeanor content elevated empathize gratitude interesting complete within rare forceful deep occurrence power dash scene time apparent hot spiritual reveals edited story exalted multi sexy saw betrayal conflict encompassing resulted angst violence paul movie end tool revenge seduction part status using not initially mind religious love nrefreshing channel mercurio tub nthat language ndevelops sweet brother general classic nthe forgiving brings many great emotion anything gentle free powerful mixed presence forgiveness learning unharnessed character whose however due think tie layered make together,positive
4,DVD,5,python known believe well life,positive
5,Amazon Video,5,favorite movie tom gleason time hank jackie great together one,positive
6,DVD,5,something worthwhile superbly hurt term learn seems strong stage struggle death level painful especially mother united recommend interesting interest strength within one see decline rare issue william hidden owning number matriarchal quite experience frequently individual assembled story intellectual outstanding secret bond enduring done le increasingly well sound life movie relationship actor nthis involving needy drama modern terminal tell absorbing interact cancer member opportunity range watch critical rilvary weakness excellent ultimately get photography nature crisis examination serious need job meryl presenting offer overall human worth loving illness streep personality character american cast family tale dimension deal memebers due clash,positive
7,DVD,5,dynamic would contain wish luther risk doe masculine south martin upstanding virtually injustice king select like gandhi seeing jesus type small including story peck said stand male come much life movie racism man course stature others add courageous mind world history town age play fighting classic framed need performance weary lawyer human save abe liberty character already greatest provides black role single gallows gregory hero make perhaps lincoln,positive
8,Amazon Video,5,plenty end movie crew john son action development leg estranged not tory rockwell plot serving good sacrifice way wayne admiral officer character really sub done rear much realize,positive
9,DVD,5,favorite biased would not even kurosawa still tell love ntakashi front film shimura head director samurai seven,positive
10,DVD,5,see movie getting creepy job changeling great measured not guess bored acting annoying perfect real music overbearing love scott tremendous partial film without definitely haunted horror george house loved one,positive
11,DVD,5,thanks,positive
12,DVD,5,word last heard,neutral
13,DVD,5,movie condition watched collection pleased good say worked dvd glad well,positive
14,DVD,5,brokeback something titanic truly take wish give recent chain review credit basically woman came realized watching hundredth yes cinema anyways win opinion accomplishment literal binding receives rolling tonight set state one write mean hype magnificent input confidential paxton fair six believe must sunk privy oscar cemented time like day la finished assume month ship period ah film going reason doubt said pretty critic best known throughout le ounce much well life sinking although towards hailed end released not possible deserving finest praise minute name even modern crown attention america say heard undue fan history contrary nnow really everyone chord called bbm least every seen needed disaster many ago offer despite notice always bill free struck could wanting deserved mountain character already got greatest tie ever five book,positive
15,Amazon Video,5,made movie ever greatest,positive
16,DVD,3,see fail sci fi time could world best ignorant perhaps state one,negative
17,Amazon Video,5,since also cyber viewer ford sega reminds question corporation calling asks genetically fast copy magic interesting criminal one william interviewer matrix scene triology good runner theme youtube returned punk futuristic reveals earth turn later le night video available find movie read reference profession juicy disturbing mentioned name plot cd dragon super world computer really work modified called heart blade get promo seen planet feel avatar comment script game shadowrun missed sean detective hunter rise treated vampire terminated currently human liner could character carefully mystery harrison young roughly cultural perhaps,positive
18,Amazon Video,5,putting since twinkie would look ability smoking testimony stick genetically hide sore society one eating inferior green perseverance like public collard high diet much execercise movie home anyone not man illusion people even facad mouth genetics healthy complaint rated feel gift pay prejudges overcome struggling eats regime realistic nibling drinking thumb estimate horse,negative
19,DVD,5,vhs saw came get dvd first tv,neutral
20,DVD,5,movie cary dialogue something duster action washington north watched ago grant crop everybody man eva woman jefferson marie shot hitch northwest witty abraham saint fine teddy year rushmore best remembered climbing roosevelt lincoln interesting mount forgotten one,positive
